Year,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
2022,Golden State Warriors,28.4,17,2,16,3,13.58,-1.25,12.33,114.0,100.5,+13.5,99.8,.237,.476,.598,,.567,14.3,22.9,.185,,.491,14.2,80.4,.175,,Chase Center,"216,768","18,064"
2022,Utah Jazz,29.6,12,7,14,5,8.37,-0.88,7.49,113.8,105.2,+8.6,98.0,.256,.487,.584,,.550,13.7,24.2,.200,,.495,11.1,79.2,.161,,Vivint Smart Home Arena,"183,060","18,306"
2022,Phoenix Suns,27.8,16,3,14,5,7.68,-1.83,5.85,111.7,104.1,+7.6,100.8,.226,.352,.578,,.546,12.2,19.7,.178,,.498,13.5,77.0,.163,,Phoenix Suns Arena,"153,714","15,371"
2022,Miami Heat,28.8,12,7,13,6,6.42,-0.59,5.84,111.6,105.0,+6.6,96.5,.257,.389,.570,,.530,13.6,25.1,.208,,.511,14.0,79.6,.182,,FTX Arena,"137,200","19,600"
2022,Brooklyn Nets,30.7,14,5,12,7,4.63,-0.74,3.89,110.3,105.7,+4.6,99.3,.249,.411,.580,,.543,13.0,17.7,.201,,.486,11.7,76.9,.180,,Barclays Center,"148,540","16,504"
2022,Chicago Bulls,26.4,13,7,13,7,4.35,-0.80,3.55,109.7,105.3,+4.4,98.5,.226,.330,.563,,.525,12.0,20.1,.190,,.508,14.7,78.4,.202,,United Center,"186,227","20,692"
2022,Los Angeles Clippers,28.1,11,8,12,7,3.47,-0.26,3.21,106.0,102.5,+3.5,99.5,.201,.425,.551,,.518,13.3,19.5,.164,,.491,13.7,76.5,.146,,STAPLES Center,"204,317","15,717"
2022,Atlanta Hawks,26.2,11,9,12,8,3.20,0.16,3.36,114.1,110.9,+3.2,97.6,.218,.354,.569,,.536,11.2,24.2,.175,,.522,11.3,77.7,.152,,State Farm Arena,"142,126","15,792"
2022,Milwaukee Bucks,28.1,12,8,12,8,2.95,-1.63,1.32,109.4,106.5,+2.9,99.5,.231,.458,.561,,.534,12.8,21.5,.168,,.501,11.5,77.9,.153,,Fiserv Forum,"173,410","17,341"
2022,Indiana Pacers,27.4,9,12,12,9,2.29,0.21,2.49,109.0,106.7,+2.3,97.7,.200,.403,.556,,.528,13.2,23.2,.153,,.504,12.0,78.8,.195,,Bankers Life Fieldhouse,"118,542","13,171"
2022,Minnesota Timberwolves,24.2,9,10,10,9,1.58,-1.00,0.58,108.0,106.5,+1.5,99.3,.206,.467,.534,,.503,13.7,28.1,.159,,.505,15.7,71.4,.215,,Target Center,"187,485","15,624"
2022,Boston Celtics,26.1,10,10,11,9,1.15,-1.25,-0.10,107.3,106.1,+1.2,96.8,.231,.408,.540,,.502,12.3,22.6,.186,,.507,12.9,79.1,.192,,TD Garden,"153,248","17,028"
2022,Philadelphia 76ers,26.3,10,9,10,9,0.95,0.57,1.52,111.8,110.8,+1.0,95.8,.224,.379,.570,,.534,11.8,20.1,.185,,.519,12.1,75.2,.177,,Wells Fargo Center,"161,333","20,167"
2022,Washington Wizards,26.3,12,7,10,9,0.68,-0.10,0.59,106.8,106.1,+0.7,97.1,.246,.378,.552,,.515,13.3,20.9,.194,,.487,10.6,78.5,.188,,Capital One Arena,"141,248","15,694"
2022,Portland Trail Blazers,27.7,10,10,10,10,0.55,1.23,1.78,112.9,112.3,+0.6,98.0,.223,.440,.570,,.538,12.3,23.5,.177,,.553,12.6,79.4,.159,,Moda Center,"172,723","17,272"
2022,Charlotte Hornets,26.0,13,8,11,10,0.33,0.89,1.22,110.4,110.1,+0.3,101.2,.218,.384,.552,,.526,11.6,22.7,.158,,.526,13.4,74.9,.182,,Spectrum Center,"150,927","16,770"
2022,Toronto Raptors,24.5,9,11,10,10,-0.25,0.64,0.39,110.8,111.1,-0.3,96.0,.214,.353,.534,,.501,11.4,29.1,.166,,.546,15.3,75.7,.189,,,"158,400",
2022,New York Knicks,26.9,10,9,9,10,-0.32,-1.31,-1.62,108.4,108.8,-0.4,97.3,.240,.429,.550,,.516,12.8,22.8,.184,,.509,12.0,76.9,.176,,Madison Square Garden (IV),"197,806","17,982"
2022,Cleveland Cavaliers,24.7,9,10,9,10,-0.53,1.28,0.76,106.1,106.7,-0.6,97.0,.238,.406,.545,,.510,14.4,24.0,.183,,.512,13.2,75.8,.151,,Quicken Loans Arena,"176,836","17,684"
2022,Denver Nuggets,27.6,9,10,9,10,-0.74,0.81,0.07,107.2,107.9,-0.7,95.9,.189,.414,.547,,.522,12.8,21.1,.141,,.531,13.2,78.5,.161,,Ball Arena,"183,930","16,721"
2022,Dallas Mavericks,26.9,10,7,8,9,-1.29,0.19,-1.11,107.1,108.5,-1.4,96.6,.220,.435,.538,,.508,11.1,21.0,.164,,.530,12.7,79.7,.158,,American Airlines Center,"136,131","19,447"
2022,Sacramento Kings,25.8,8,12,9,11,-1.70,1.13,-0.57,109.6,111.2,-1.6,99.5,.248,.393,.551,,.517,12.4,23.4,.187,,.521,11.9,74.6,.180,,Golden 1 Center,"128,207","12,821"
2022,San Antonio Spurs,25.2,5,13,7,11,-2.89,-1.15,-4.03,105.3,108.2,-2.9,100.7,.178,.311,.535,,.515,11.7,20.3,.123,,.534,13.8,77.6,.150,,AT&T Center,"137,486","15,276"
2022,Los Angeles Lakers,31.1,10,11,8,13,-3.14,-0.96,-4.11,106.0,109.0,-3.0,101.5,.241,.375,.555,,.523,13.9,21.3,.180,,.523,13.4,76.1,.185,,STAPLES Center,"244,412","18,801"
2022,Memphis Grizzlies,23.9,9,10,6,13,-6.63,1.46,-5.17,109.8,116.4,-6.6,98.9,.206,.381,.539,,.508,11.7,27.1,.159,,.564,12.8,77.1,.170,,FedEx Forum,"156,738","14,249"
2022,Oklahoma City Thunder,22.7,6,13,5,14,-6.95,1.09,-5.86,100.7,107.7,-7.0,98.4,.206,.426,.506,,.477,12.7,21.9,.151,,.515,11.9,78.9,.156,,Chesapeake Energy Arena,"124,028","12,403"
2022,New Orleans Pelicans,25.5,5,16,6,15,-6.95,1.79,-5.16,104.2,111.4,-7.2,97.6,.222,.362,.526,,.486,13.9,25.2,.182,,.531,11.9,77.7,.186,,Smoothie King Center,"152,386","15,239"
2022,Detroit Pistons,23.9,4,15,4,15,-9.42,1.24,-8.18,100.5,110.1,-9.6,98.2,.245,.424,.507,,.467,13.3,22.7,.190,,.550,15.2,76.8,.186,,Little Caesars Arena,"133,994","13,399"
2022,Houston Rockets,24.9,2,16,4,14,-10.33,0.07,-10.26,98.6,108.7,-10.1,102.6,.281,.419,.528,,.496,16.5,20.4,.194,,.524,12.7,78.2,.181,,Toyota Center,"110,581","15,797"
2022,Orlando Magic,23.0,4,16,4,16,-11.05,0.67,-10.38,101.2,112.3,-11.1,99.0,.214,.442,.517,,.485,13.9,21.9,.162,,.533,11.7,76.1,.183,,Amway Center,"138,654","15,406"
